X,y,airfoil name
"[-0.0706504307250206 0.0440281436232445 0.0043788550676948
 0.0133931685746782 0.0079205042860294 0.0044148440568132
 0.005076805547416 0.001040660335002 0.0021169334182157 0.1016846899464211
 -0.0575253378388914 -0.0137236092908212 -0.0101722452863015
 -0.0122505852597915 -0.0037979767471931 -0.0068549910138122
 -0.0013407042054564 -0.0027362152362117 0.0009563134 13.0]",[0.5176922269344649],SC1095_0026
"[-0.0477976153451084 0.0705870346983097 0.0365791261962106
 0.0222472603512137 0.0128372045830089 0.0093094445510491
 0.0035479864711027 0.0028323179002199 0.000339249034613
 0.1488078921111822 -0.017168467911649 -0.0387338643468943
 -0.020727054632637 -0.0154976369543745 -0.0017520305258165
 -0.005529152380296 0.000380284063488 -0.001745755367452
 0.0026594274738255 2.0]",[0.66732507828744],SSCA09_0003
"[-0.1675264326537857 0.016059792625889 -0.0023405430102038
 0.0016989588141376 0.0008312441398672 0.0014879626594945
 0.000427516775216 0.0005192161330667 8.649143726279007e-05
 0.1675264326537857 -0.016059792625889 0.0023405430102038
 -0.0016989588141376 -0.0008312441398672 -0.0014879626594945
 -0.000427516775216 -0.0005192161330667 -8.649143726279007e-05
 0.0004775214 6.0]",[0.6306886198081881],NACA0012_0025
"[-0.0831258948393395 -0.0050387628707196 -0.0279734363917429
 0.0245540066340653 -0.0207530089930516 0.0150180807779107
 -0.0082272811006885 0.0045847075817046 -0.0017522653746575
 0.2658432183502184 -0.0580375537910727 -0.0102114812143696
 0.0029472025796276 -0.0176959552085659 0.0009371508806402
 -0.0083744704459569 -0.0003889311288319 -0.0027612602195125
 4.289920138333524e-05 10.0]",[0.5796007625840122],V43015_248_0037
"[-0.1945055467195144 -0.023160567890316 -0.010836560811193
 0.0010454905861338 -0.0073130490286632 -0.0017429397336104
 -0.0030143204871002 -0.0008593329232325 -0.0009658622623856
 0.1945055467195144 0.023160567890316 0.010836560811193
 -0.0010454905861338 0.0073130490286632 0.0017429397336104
 0.0030143204871002 0.0008593329232325 0.0009658622623856 0.0013767317
 14.0]",[0.5181453906154505],NACA0012_64_0020
"[-0.0725603298807226 0.0473978007545464 0.0257820735090347
 0.022027566117735 0.0046956656854106 0.0090604772510919
 0.0036860772092963 0.0027589036171954 0.0004913833021788
 0.1415069099043366 -0.0251500666511459 -0.0341981947445314
 -0.0387233436848871 -0.0153145854681544 -0.0019906252151083
 -0.0053703040233025 0.0003208420175181 -0.0015327266892539
 0.0009933743857844 5.0]",[0.7176882029279791],SSCA09_0014
"[-0.119237292572003 -0.0077264058162701 -0.0303853332950646
 0.0003309267844891 -0.0189864750095407 0.0006007441506206
 -0.0138140845771488 -0.0022733767263771 -0.005292362471685
 0.1653460535731034 -0.0503740287819981 -0.0117473422271077
 0.0006396389818789 -0.000482207962847 0.0026479814081682
 -0.0055552474481017 -0.0018264821512119 -0.0011144907457303 0.0 13.0]",[0.5420138398977115],V23010_158_0024
"[-0.077185022059459 0.0503066145800052 0.0269214986113773
 0.0246933099552118 0.0093369970207363 0.0080251494385233
 0.0039423864667584 0.0026503618174682 0.0004944576779127
 0.1399998292873809 -0.0437394831257775 -0.045204972661659
 -0.0296725233802166 -0.0166033188265267 -0.0029582094879083
 -0.0051389356574038 0.0002436761282466 -0.0015948542262053
 0.0012763171958747 6.0]",[0.6514624585444578],SSCA09_0035
"[-0.0696561245190423 0.0480418501941132 0.0253022001734669
 0.0096121465462244 0.0082973426934194 0.0096659747829676
 0.0035010499199684 0.002854018279109 0.0003038015598749
 0.1288331706566818 -0.040268593439841 -0.0456633273124023
 -0.0294998032365833 -0.0164309875313344 -0.0013527203317821
 -0.0055143869562857 0.0004184404168481 -0.0016997464329232
 0.0004631726265072 5.0]",[0.7060273432041562],SSCA09_0008
"[-0.1440564729567294 0.0109158249995479 -0.0126023715140378
 0.0150629595585242 -0.0056225694415656 0.0051722621881268
 -0.0027779124710126 0.0012810182517556 -0.0014501885597479
 0.1759780376148323 0.0326645488229222 0.0368245740433181
 -0.0035710867230217 0.0094889142635658 -0.0010512895203461
 0.0037339683272815 -0.0001531092728878 0.0018730030835897 0.0007410646
 20.0]",[0.5079199492726711],RCSC2_0023
"[-0.0988224586406858 0.0607730045105014 0.009060169322589
 0.0138855064639545 0.009301192202706 0.0041046569462942
 0.0053440922673624 0.0008919360011379 0.0021925768185007
 0.1426254602789696 -0.0470338639550029 -0.0108124377602884
 -0.015632636546289 -0.0118412344148715 -0.004117534853255
 -0.0065761137693894 -0.0015061121883061 -0.0026473905964648 0.0015577074
 5.0]",[0.6215018676656151],SC1095_0038
"[-0.2637342609943646 -0.088442932947932 -0.0326205775010599
 -0.0035952831794489 -0.0189598479932562 0.0110280009648033
 -0.0072646450598283 0.0050430059519892 -0.0031144599027197
 0.1974935424727512 -0.1295126086323385 -0.0228071394029054
 -0.0167788402763892 -0.0181343886741596 -0.0008670766948438
 -0.0058381557573973 -0.0013693945557878 -0.0018830032379831
 5.696149430490377e-05 17.0]",[0.5463324133307736],V43015_248_0033
"[-0.0920804755698183 0.0152015218859317 -0.0240121998493547
 0.0014107668874466 -0.0175211062319605 0.001401442097802
 -0.0141836351144751 -0.0022015271426431 -0.0052057961537004
 0.1475202193470389 -0.0445957737084709 -0.0056438066767206
 0.0035296351459646 -0.0003339759943315 0.0038284062530628
 -0.0062440461715217 -0.0016297700258746 -0.0010857963867307 0.0 7.0]",[0.57894458716636],V23010_158_0028
"[-0.1153127287775324 0.0207569473938277 -0.0266645209331171
 0.0092065504993977 -0.0092184944508201 0.0008200805971388
 -0.0011433001735106 -0.0027129903643868 -0.0009978378060018
 0.1738237248835003 -0.0527291253844256 -0.0171416267572779
 -0.0084542681478049 0.0021123705528842 0.0031460490489474
 -0.0075461453844246 -0.0006035103313545 -0.0024278401296139
 0.0006972769127171 19.0]",[0.5183700037993118],RC410_0035
"[-0.1103902265970782 0.0344139520186693 0.0103081829639384
 0.0243342230408157 0.0037489028627332 0.0103837391625537
 0.0031108344292117 0.0024405321960604 0.0001673288188305
 0.1496144138668295 -0.0903832191799654 -0.0478446549721745
 -0.0406614004932881 -0.0190848983547942 -0.0021523758791558
 -0.0066436635539206 0.0001428049313528 -0.0016940211754398
 0.0029109618556701 13.0]",[0.5336636351470825],SC2110_0015
