X,y,airfoil name
"[-0.0649970401611444 0.0168124910723416 0.0264475106165248
 0.0267680372039785 0.0123436157132492 0.0085422361239248
 0.0035202342591543 0.0028801618169726 0.0002827630790835
 0.1025183830401152 -0.044506480628424 -0.0508646148623618
 -0.0239124201457921 -0.0189798500290469 -0.002402962651921
 -0.0055646043519077 0.0004580549122828 -0.0018176458711693
 0.0027050857825842 -4.0]",[0.4197437570938761],SSCA09_0032
"[-0.1933189464988381 -0.0516835016973362 -0.0555768912437749
 0.0097230383579791 -0.0142086856965875 0.0108269479023805
 -0.0061994082990795 0.0040514202675868 -0.0021095503039487
 0.283673877743518 -0.1001952067995014 -0.0416513589950693
 -0.0089962923851178 -0.0093229147615604 -0.0022735722410083
 -0.0052935324380865 -0.0018024870431602 -0.0017406626589021
 5.638485223589604e-05 17.0]",[0.0103013077501253],V43015_248_0031
"[-0.1514562587115457 0.0105642367818186 -0.011629654847774
 -0.005973971267933 -0.004781001732091 -0.0027139531841694
 -0.0027972716709131 -0.0011201793657188 -0.0008099806077812
 0.1514562587115457 -0.0105642367818186 0.011629654847774
 0.005973971267933 0.004781001732091 0.0027139531841694 0.0027972716709131
 0.0011201793657188 0.0008099806077812 0.0010387643 -4.0]",[0.3393577764876764],NACA0015_0022
"[-0.1708506094538379 0.0166095199193607 -0.0016961951035772
 0.0016989583782115 0.000831243702838 0.0014879623396212
 0.0004275164569623 0.0005192159181669 8.649123892811035e-05
 0.1708506094538379 -0.0166095199193607 0.0016961951035772
 -0.0016989583782115 -0.000831243702838 -0.0014879623396212
 -0.0004275164569623 -0.0005192159181669 -8.649123892811035e-05
 0.0017364858 -4.0]",[0.3204163770821103],NACA0012_0020
"[-0.1588771384908191 -0.0561511669596678 -0.0410534556006029
 -0.007387112975199 -0.0090256817756367 -0.0010606263664236
 -0.0051991235989649 -0.0008686683758539 -0.0019351702502495
 0.183381973276673 -0.0761664162342997 -0.0386035943093155
 -0.0229317548905448 -0.0163787500607037 -0.0021566325121511
 -0.0106261367183071 -0.0020342095719897 -0.0038967839997789
 0.0007098455007329 20.0]",[0.0028426576586535],VR12_0030
"[-0.1465925148139132 0.0185464401859038 -0.0021430250963546
 0.001698958211713 0.0008312437331375 0.0014879623305306
 0.0004275165702974 0.0005192159681075 8.649135762175553e-05
 0.1465925148139132 -0.0185464401859038 0.0021430250963546
 -0.001698958211713 -0.0008312437331375 -0.0014879623305306
 -0.0004275165702974 -0.0005192159681075 -8.649135762175553e-05
 0.0015928609 -3.0]",[0.3503588415081188],NACA0012_0013
"[-0.0579264704090281 0.0251662573277842 0.0167693115576091
 0.0235887393153964 0.0105323818670286 0.0094812284378245
 0.0033241105291275 0.0028979562352952 0.0002670039154879
 0.0929231691788318 -0.0687955089624807 -0.0371666134779395
 -0.0151473321459218 -0.015056620112606 -0.0015680861867798
 -0.0057134774328589 0.0004323970008348 -0.0018288869854684
 0.0007893760839098 -3.0]",[0.4445194793355233],SSCA09_0026
"[-0.1122050686360441 -0.0536801268661146 -0.0323840345225231
 0.0070649444457882 -0.0044211145806475 0.0047606440952485
 -0.0015783483084042 0.0013241650692228 -0.0008054592726838
 0.1162391897233858 -0.0053650675192938 -0.0092969384947007
 -0.0006186889004715 0.0001130566894783 0.0031146508296644
 0.0011102861169801 0.0008728582673579 0.0003371519021719
 0.0015446947131378 -2.0]",[0.4678529289885954],RC310_0039
"[-0.1370490985720851 -0.0590193544396471 -0.0410351141654239
 0.007859040013694 -0.0053326729671037 0.0046761983466925
 -0.0014203263518591 0.0012497468931734 -0.0006990975869942
 0.1573760161349739 -0.0217365698332422 -0.0165954699611648
 0.0008956539568175 0.0007156923976997 0.0030359485672296
 0.0012880290680685 0.0008188503879991 0.0004196678484251
 0.0004619604765222 -1.0]",[0.4704877590828114],RC310_0010
"[-0.2202652218815543 0.0110843154452265 -0.0145114699346597
 -0.0058740637311543 -0.0053306370550467 -0.0027139529390143
 -0.0027972714331718 -0.001120179217657 -0.0008099804585734
 0.2202652218815543 -0.0110843154452265 0.0145114699346597
 0.0058740637311543 0.0053306370550467 0.0027139529390143
 0.0027972714331718 0.001120179217657 0.0008099804585734 0.0022627833 -3.0]",[0.3099344189302629],NACA0015_0040
"[-0.0699503451737427 0.0636056100178079 0.024467543908904
 0.0292303253749933 0.0009385760516467 0.0113933230772994
 0.0025187354328141 0.0027293388403006 9.38599288531766e-05
 0.1710032172020366 -0.0323496876957378 -0.0361589856253785
 -0.0462754675969616 -0.020022938791769 -0.0011656029636851
 -0.0074008795620133 0.0005013551705606 -0.0018064561957384
 0.0011066576168882 -4.0]",[0.4357885534902887],SC2110_0014
"[-0.1017528260279846 0.0036352765780734 -0.0205971210839894
 -0.0156328154128354 -0.01409178527127 -0.0028620226924361
 -0.0047128224227333 -0.0010380081187659 -0.0014622639052115
 0.1855224745004273 -0.0158502082131132 -0.0194058201363163
 -0.0298351010631096 -0.0236781380266892 -0.0036313033012688
 -0.0113234433056386 -0.0018773855409698 -0.0040141650190109
 0.0025374810995952 -2.0]",[0.475000848826408],VR12_0017
"[-0.2319150569482605 -0.0803742998189965 -0.0366036722673121
 0.0067796966778226 -0.0101984015263773 0.0099995070717543
 -0.0056912087616618 0.0040029346254734 -0.0020844692110203
 0.2054034758609534 -0.1282079342725179 -0.0270664133130199
 -0.0075208507149374 -0.0105530185339782 -0.0015852621726527
 -0.0057030963789222 -0.0015705383129473 -0.0017761156087025
 1.5408429241005328e-05 9.0]",[0.0481165017499007],V43015_248_0019
"[-0.1038633282303614 0.0201143981454327 0.028514440861119
 0.020018903668053 0.0017988881465388 0.0119889590797356
 0.0019381253415886 0.0031130265078446 -0.0003423550596807
 0.1259274890794774 -0.0974349289738773 -0.0497694434073992
 -0.0317228170730339 -0.023831313726128 -0.0009080374805429
 -0.0075500057801189 0.0006050198458819 -0.0021375386766428
 0.0012195807229457 -1.0]",[0.483856798921166],SC2110_0007
